samples_id,group_b_name_classified
bbe9379c-e469-4239-88cf-c1ad3c9030a7,10DASHb2023
37c9effe-20b3-40e8-924f-4134d2cb5a9a,14DASHa2023
3754d912-1955-4ca1-b961-e3d951e19a87,14DASHa2023
2858bb06-16ab-46b5-84ac-e1cb8c2e37a6,14DASHa2023
60516df3-0491-4da5-bdc8-4ebfd1c26177,2DASHa2023
5cfce7f3-00e8-4e19-b962-43d1c6aa0ce9,26DASHa2023
4d7c08e7-0d24-4973-b75d-474a26d83e9c,26DASHa2023
fe75a55d-2017-49ad-a3aa-d949e8cbd55f,26DASHa2023
a5f8d315-b377-4003-8f3d-30ee4adfbf7f,26DASHb2023
7f028c54-2f8e-4892-9391-fe8c763913db,26DASHb2023
acaa2b22-5249-4693-bd75-cc0e4443b564,26DASHb2023
be8b3e2d-93c5-4322-9cd0-f5e6b9ec07bc,26DASHb2023
78f618b3-3144-4990-8a7b-5bc3d6c4656a,26DASHb2023
21fec294-7da0-402d-a3c0-0ba398e8d8f6,26DASHb2023
47423baf-1a9c-406b-a361-2f1b0e7dbda2,1DASHa2023
5f59c55b-c3c1-4145-8807-81899e380fe1,1DASHa2023
3b11261e-f314-4713-ba70-f579fd99a0de,1DASHa2023
48f2b421-9580-4ff4-b039-67183beed8c0,14DASHa2023
2b668d75-f664-44a7-aeb1-f41a25f38ac5,14BBa2023
a7e0b4ac-c6ad-4c63-bde5-16e27067e820,13DASHa2023
563a7568-1092-47f2-be0c-0e700cde164e,2DASHa2023
adf37a92-b294-495f-a8d7-32b9f741c879,1UVa2023
ecec0706-2e05-4597-bd64-f78e629f8e17,26BBa2023
e7f7c1ee-788f-4397-abac-f3df744b4ae4,10BBa2023
63b8d8c0-d56d-4f99-b049-46966d061773,19BBa2023
964e9afe-6bc5-456b-aec9-860a7f285288,10BBa2023
88477222-1efb-47e3-b5f6-51cccdd6d968,2DASHa2023
ad8d1634-a5a6-4044-9fa3-2862e361beef,2DASHa2023
7352c44e-f65b-43bd-a74c-e40fc1294fdf,26BBc2024
d8eeb58d-6d2a-4364-8986-a8745028602d,26BBb2023
636cc9d4-7c35-4754-9429-802f02976d5d,10DASHb2023
d8ff7a5b-9049-4d67-aee7-5c135c1a0725,8BBa2023
7617dabe-ef89-47fb-8396-dd50e92b39bd,10BBa2023
40b9f947-faf2-4306-892b-70199172e3be,13DASHb2024
43b78d9a-f974-4458-b5a1-dd67106162d9,13DASHb2024
289dd334-0dfa-450c-b70d-45a30713634e,13DASHb2024
aff100ff-35e1-4344-8ae5-610ddb0336ff,10DASHc2024
